000001.jpg
162770.jpg
162770
Train: [1][10/1271]	BT 0.794 (1.741)	DT 0.000 (0.209)	loss 5.645 (5.468)
Train: [1][20/1271]	BT 0.800 (1.269)	DT 0.000 (0.104)	loss 5.345 (5.389)
Train: [1][30/1271]	BT 0.807 (1.114)	DT 0.000 (0.070)	loss 5.579 (5.364)
Train: [1][40/1271]	BT 0.802 (1.038)	DT 0.000 (0.052)	loss 5.480 (5.350)
Train: [1][50/1271]	BT 0.817 (0.993)	DT 0.000 (0.042)	loss 5.152 (5.342)
Train: [1][60/1271]	BT 0.818 (0.964)	DT 0.000 (0.035)	loss 5.253 (5.322)
Train: [1][70/1271]	BT 0.828 (0.944)	DT 0.000 (0.030)	loss 4.491 (5.304)
Train: [1][80/1271]	BT 0.830 (0.929)	DT 0.000 (0.026)	loss 4.860 (5.302)
Train: [1][90/1271]	BT 0.828 (0.918)	DT 0.000 (0.023)	loss 5.098 (5.297)
Train: [1][100/1271]	BT 0.830 (0.910)	DT 0.000 (0.021)	loss 5.267 (5.304)
Train: [1][110/1271]	BT 0.828 (0.902)	DT 0.000 (0.019)	loss 5.267 (5.307)
Train: [1][120/1271]	BT 0.824 (0.896)	DT 0.000 (0.018)	loss 5.090 (5.296)
Train: [1][130/1271]	BT 0.826 (0.890)	DT 0.000 (0.016)	loss 5.306 (5.297)
Train: [1][140/1271]	BT 0.819 (0.886)	DT 0.000 (0.015)	loss 4.975 (5.297)
Train: [1][150/1271]	BT 0.823 (0.882)	DT 0.000 (0.014)	loss 5.343 (5.302)
Train: [1][160/1271]	BT 0.828 (0.878)	DT 0.000 (0.013)	loss 5.476 (5.299)
Train: [1][170/1271]	BT 0.826 (0.875)	DT 0.000 (0.012)	loss 5.431 (5.296)
Train: [1][180/1271]	BT 0.820 (0.872)	DT 0.000 (0.012)	loss 5.362 (5.293)
Train: [1][190/1271]	BT 0.821 (0.869)	DT 0.000 (0.011)	loss 5.279 (5.295)
Train: [1][200/1271]	BT 0.820 (0.867)	DT 0.000 (0.011)	loss 5.506 (5.296)
Train: [1][210/1271]	BT 0.821 (0.865)	DT 0.000 (0.010)	loss 5.185 (5.296)
Train: [1][220/1271]	BT 0.819 (0.863)	DT 0.000 (0.010)	loss 5.593 (5.297)
Train: [1][230/1271]	BT 0.821 (0.861)	DT 0.000 (0.009)	loss 5.340 (5.293)
Train: [1][240/1271]	BT 0.823 (0.859)	DT 0.000 (0.009)	loss 5.645 (5.292)
Train: [1][250/1271]	BT 0.818 (0.858)	DT 0.000 (0.008)	loss 4.997 (5.288)
Train: [1][260/1271]	BT 0.821 (0.856)	DT 0.000 (0.008)	loss 5.539 (5.290)
Train: [1][270/1271]	BT 0.823 (0.855)	DT 0.000 (0.008)	loss 5.652 (5.295)
Train: [1][280/1271]	BT 0.820 (0.854)	DT 0.000 (0.008)	loss 5.563 (5.297)
Train: [1][290/1271]	BT 0.820 (0.852)	DT 0.000 (0.007)	loss 5.560 (5.298)
Train: [1][300/1271]	BT 0.824 (0.851)	DT 0.000 (0.007)	loss 5.473 (5.302)
Train: [1][310/1271]	BT 0.819 (0.850)	DT 0.000 (0.007)	loss 5.415 (5.302)
Train: [1][320/1271]	BT 0.822 (0.849)	DT 0.000 (0.007)	loss 5.264 (5.302)
Train: [1][330/1271]	BT 0.819 (0.848)	DT 0.000 (0.006)	loss 5.607 (5.302)
Train: [1][340/1271]	BT 0.815 (0.848)	DT 0.000 (0.006)	loss 5.666 (5.302)
Train: [1][350/1271]	BT 0.820 (0.847)	DT 0.000 (0.006)	loss 5.329 (5.299)
Train: [1][360/1271]	BT 0.822 (0.846)	DT 0.000 (0.006)	loss 5.138 (5.301)
Train: [1][370/1271]	BT 0.820 (0.845)	DT 0.000 (0.006)	loss 5.552 (5.303)
Train: [1][380/1271]	BT 0.818 (0.845)	DT 0.000 (0.006)	loss 5.109 (5.307)
Train: [1][390/1271]	BT 0.819 (0.844)	DT 0.000 (0.005)	loss 5.369 (5.307)
Train: [1][400/1271]	BT 0.825 (0.843)	DT 0.000 (0.005)	loss 5.417 (5.307)
Train: [1][410/1271]	BT 0.818 (0.843)	DT 0.000 (0.005)	loss 5.211 (5.307)
Train: [1][420/1271]	BT 0.823 (0.842)	DT 0.000 (0.005)	loss 5.003 (5.308)
Train: [1][430/1271]	BT 0.816 (0.842)	DT 0.000 (0.005)	loss 5.434 (5.308)
Train: [1][440/1271]	BT 0.821 (0.841)	DT 0.000 (0.005)	loss 5.666 (5.308)
Train: [1][450/1271]	BT 0.816 (0.841)	DT 0.000 (0.005)	loss 5.309 (5.310)
Train: [1][460/1271]	BT 0.821 (0.840)	DT 0.000 (0.005)	loss 5.486 (5.312)
Train: [1][470/1271]	BT 0.818 (0.840)	DT 0.000 (0.005)	loss 5.263 (5.312)
Train: [1][480/1271]	BT 0.826 (0.839)	DT 0.000 (0.004)	loss 5.023 (5.314)
Train: [1][490/1271]	BT 0.821 (0.839)	DT 0.000 (0.004)	loss 4.964 (5.314)
Train: [1][500/1271]	BT 0.818 (0.839)	DT 0.000 (0.004)	loss 5.257 (5.313)
Train: [1][510/1271]	BT 0.818 (0.838)	DT 0.000 (0.004)	loss 5.303 (5.314)
Train: [1][520/1271]	BT 0.821 (0.838)	DT 0.000 (0.004)	loss 5.051 (5.314)
Train: [1][530/1271]	BT 0.825 (0.838)	DT 0.000 (0.004)	loss 5.394 (5.315)
Train: [1][540/1271]	BT 0.828 (0.837)	DT 0.000 (0.004)	loss 5.291 (5.317)
Train: [1][550/1271]	BT 0.822 (0.837)	DT 0.000 (0.004)	loss 5.474 (5.318)
Train: [1][560/1271]	BT 0.819 (0.837)	DT 0.000 (0.004)	loss 5.406 (5.318)
Train: [1][570/1271]	BT 0.820 (0.836)	DT 0.000 (0.004)	loss 5.472 (5.317)
Train: [1][580/1271]	BT 0.819 (0.836)	DT 0.000 (0.004)	loss 5.562 (5.318)
Train: [1][590/1271]	BT 0.828 (0.836)	DT 0.000 (0.004)	loss 5.079 (5.317)
Train: [1][600/1271]	BT 0.821 (0.836)	DT 0.000 (0.004)	loss 5.298 (5.315)
Train: [1][610/1271]	BT 0.818 (0.835)	DT 0.000 (0.004)	loss 5.140 (5.313)
Train: [1][620/1271]	BT 0.824 (0.835)	DT 0.000 (0.004)	loss 5.143 (5.313)
Train: [1][630/1271]	BT 0.820 (0.835)	DT 0.000 (0.003)	loss 5.509 (5.312)
Train: [1][640/1271]	BT 0.820 (0.835)	DT 0.000 (0.003)	loss 5.339 (5.313)
Train: [1][650/1271]	BT 0.824 (0.835)	DT 0.000 (0.003)	loss 5.348 (5.310)
Train: [1][660/1271]	BT 0.817 (0.834)	DT 0.000 (0.003)	loss 5.401 (5.312)
Train: [1][670/1271]	BT 0.816 (0.834)	DT 0.000 (0.003)	loss 5.161 (5.312)
Train: [1][680/1271]	BT 0.822 (0.834)	DT 0.000 (0.003)	loss 4.780 (5.311)
Train: [1][690/1271]	BT 0.816 (0.834)	DT 0.000 (0.003)	loss 5.389 (5.311)
Train: [1][700/1271]	BT 0.815 (0.834)	DT 0.000 (0.003)	loss 4.891 (5.312)
Train: [1][710/1271]	BT 0.818 (0.833)	DT 0.000 (0.003)	loss 5.532 (5.313)
Train: [1][720/1271]	BT 0.827 (0.833)	DT 0.000 (0.003)	loss 4.760 (5.311)
Train: [1][730/1271]	BT 0.822 (0.833)	DT 0.000 (0.003)	loss 5.113 (5.311)
Train: [1][740/1271]	BT 0.823 (0.833)	DT 0.000 (0.003)	loss 5.277 (5.309)
Train: [1][750/1271]	BT 0.824 (0.833)	DT 0.000 (0.003)	loss 5.468 (5.311)
Train: [1][760/1271]	BT 0.820 (0.833)	DT 0.000 (0.003)	loss 5.560 (5.310)
Train: [1][770/1271]	BT 0.822 (0.832)	DT 0.000 (0.003)	loss 5.500 (5.311)
Train: [1][780/1271]	BT 0.819 (0.832)	DT 0.000 (0.003)	loss 5.571 (5.313)
Train: [1][790/1271]	BT 0.814 (0.832)	DT 0.000 (0.003)	loss 5.370 (5.314)
Train: [1][800/1271]	BT 0.823 (0.832)	DT 0.000 (0.003)	loss 5.257 (5.314)
Train: [1][810/1271]	BT 0.827 (0.832)	DT 0.000 (0.003)	loss 4.482 (5.312)
Train: [1][820/1271]	BT 0.822 (0.832)	DT 0.000 (0.003)	loss 5.042 (5.312)
Train: [1][830/1271]	BT 0.821 (0.832)	DT 0.000 (0.003)	loss 5.619 (5.312)
Train: [1][840/1271]	BT 0.821 (0.831)	DT 0.000 (0.003)	loss 5.322 (5.312)
Train: [1][850/1271]	BT 0.820 (0.831)	DT 0.000 (0.003)	loss 5.186 (5.311)
Train: [1][860/1271]	BT 0.818 (0.831)	DT 0.000 (0.003)	loss 5.342 (5.311)
Train: [1][870/1271]	BT 0.813 (0.831)	DT 0.000 (0.003)	loss 5.287 (5.310)
Train: [1][880/1271]	BT 0.828 (0.831)	DT 0.000 (0.003)	loss 4.882 (5.310)
Train: [1][890/1271]	BT 0.825 (0.831)	DT 0.000 (0.002)	loss 4.900 (5.309)
Train: [1][900/1271]	BT 0.821 (0.831)	DT 0.000 (0.002)	loss 5.392 (5.309)
Train: [1][910/1271]	BT 0.819 (0.831)	DT 0.000 (0.002)	loss 5.453 (5.308)
Train: [1][920/1271]	BT 0.823 (0.830)	DT 0.000 (0.002)	loss 5.411 (5.308)
Train: [1][930/1271]	BT 0.821 (0.830)	DT 0.000 (0.002)	loss 5.270 (5.309)
Train: [1][940/1271]	BT 0.819 (0.830)	DT 0.000 (0.002)	loss 5.133 (5.308)
Train: [1][950/1271]	BT 0.821 (0.830)	DT 0.000 (0.002)	loss 5.375 (5.308)
Train: [1][960/1271]	BT 0.819 (0.830)	DT 0.000 (0.002)	loss 5.462 (5.309)
Train: [1][970/1271]	BT 0.827 (0.830)	DT 0.000 (0.002)	loss 5.297 (5.309)
Train: [1][980/1271]	BT 0.821 (0.830)	DT 0.000 (0.002)	loss 5.174 (5.310)
Train: [1][990/1271]	BT 0.826 (0.830)	DT 0.000 (0.002)	loss 5.642 (5.311)
Train: [1][1000/1271]	BT 0.820 (0.830)	DT 0.000 (0.002)	loss 5.006 (5.311)
Train: [1][1010/1271]	BT 0.819 (0.830)	DT 0.000 (0.002)	loss 4.960 (5.311)
Train: [1][1020/1271]	BT 0.818 (0.829)	DT 0.000 (0.002)	loss 5.254 (5.311)
Train: [1][1030/1271]	BT 0.814 (0.829)	DT 0.000 (0.002)	loss 5.152 (5.311)
Train: [1][1040/1271]	BT 0.820 (0.829)	DT 0.000 (0.002)	loss 5.380 (5.312)
Train: [1][1050/1271]	BT 0.819 (0.829)	DT 0.000 (0.002)	loss 5.412 (5.313)
Train: [1][1060/1271]	BT 0.817 (0.829)	DT 0.000 (0.002)	loss 4.995 (5.312)
Train: [1][1070/1271]	BT 0.822 (0.829)	DT 0.000 (0.002)	loss 5.276 (5.312)
Train: [1][1080/1271]	BT 0.820 (0.829)	DT 0.000 (0.002)	loss 5.019 (5.312)
Train: [1][1090/1271]	BT 0.819 (0.829)	DT 0.000 (0.002)	loss 5.417 (5.312)
Train: [1][1100/1271]	BT 0.820 (0.829)	DT 0.000 (0.002)	loss 5.449 (5.312)
Train: [1][1110/1271]	BT 0.812 (0.829)	DT 0.000 (0.002)	loss 5.012 (5.313)
Train: [1][1120/1271]	BT 0.820 (0.829)	DT 0.000 (0.002)	loss 5.101 (5.313)
Train: [1][1130/1271]	BT 0.822 (0.829)	DT 0.000 (0.002)	loss 5.140 (5.312)
Train: [1][1140/1271]	BT 0.819 (0.828)	DT 0.000 (0.002)	loss 5.252 (5.312)
Train: [1][1150/1271]	BT 0.818 (0.828)	DT 0.000 (0.002)	loss 5.587 (5.312)
Train: [1][1160/1271]	BT 0.819 (0.828)	DT 0.000 (0.002)	loss 5.517 (5.313)
Train: [1][1170/1271]	BT 0.821 (0.828)	DT 0.000 (0.002)	loss 5.516 (5.313)
Train: [1][1180/1271]	BT 0.818 (0.828)	DT 0.000 (0.002)	loss 5.506 (5.313)
Train: [1][1190/1271]	BT 0.817 (0.828)	DT 0.000 (0.002)	loss 5.696 (5.313)
Train: [1][1200/1271]	BT 0.820 (0.828)	DT 0.000 (0.002)	loss 5.288 (5.313)
Train: [1][1210/1271]	BT 0.820 (0.828)	DT 0.000 (0.002)	loss 5.272 (5.313)
Train: [1][1220/1271]	BT 0.824 (0.828)	DT 0.000 (0.002)	loss 5.486 (5.313)
Train: [1][1230/1271]	BT 0.820 (0.828)	DT 0.000 (0.002)	loss 5.596 (5.312)
Train: [1][1240/1271]	BT 0.819 (0.828)	DT 0.009 (0.002)	loss 5.176 (5.312)
Train: [1][1250/1271]	BT 0.819 (0.828)	DT 0.000 (0.002)	loss 5.180 (5.311)
Train: [1][1260/1271]	BT 0.820 (0.828)	DT 0.000 (0.002)	loss 5.358 (5.311)
Train: [1][1270/1271]	BT 0.819 (0.828)	DT 0.000 (0.002)	loss 5.570 (5.312)
epoch 1, total time 1052.02
Train: [2][10/1271]	BT 0.823 (1.011)	DT 0.000 (0.239)	loss 4.958 (5.308)
Train: [2][20/1271]	BT 0.811 (0.915)	DT 0.000 (0.119)	loss 4.941 (5.224)
Train: [2][30/1271]	BT 0.814 (0.883)	DT 0.000 (0.080)	loss 5.036 (5.252)
Train: [2][40/1271]	BT 0.819 (0.868)	DT 0.000 (0.060)	loss 5.507 (5.258)
Train: [2][50/1271]	BT 0.827 (0.858)	DT 0.000 (0.048)	loss 4.964 (5.259)
Train: [2][60/1271]	BT 0.818 (0.851)	DT 0.000 (0.040)	loss 5.442 (5.276)
Train: [2][70/1271]	BT 0.819 (0.847)	DT 0.000 (0.034)	loss 5.737 (5.264)
Train: [2][80/1271]	BT 0.817 (0.844)	DT 0.000 (0.030)	loss 5.451 (5.285)
Train: [2][90/1271]	BT 0.821 (0.841)	DT 0.000 (0.027)	loss 5.337 (5.290)
Train: [2][100/1271]	BT 0.823 (0.839)	DT 0.000 (0.024)	loss 4.864 (5.282)
Train: [2][110/1271]	BT 0.820 (0.837)	DT 0.000 (0.022)	loss 5.131 (5.290)
Train: [2][120/1271]	BT 0.820 (0.836)	DT 0.000 (0.020)	loss 5.490 (5.295)
Train: [2][130/1271]	BT 0.821 (0.835)	DT 0.000 (0.019)	loss 5.250 (5.296)
Train: [2][140/1271]	BT 0.824 (0.834)	DT 0.000 (0.017)	loss 5.253 (5.293)
Train: [2][150/1271]	BT 0.820 (0.833)	DT 0.000 (0.016)	loss 4.738 (5.289)
Train: [2][160/1271]	BT 0.821 (0.832)	DT 0.000 (0.015)	loss 5.236 (5.292)
Train: [2][170/1271]	BT 0.820 (0.831)	DT 0.000 (0.014)	loss 4.655 (5.289)
Train: [2][180/1271]	BT 0.833 (0.831)	DT 0.000 (0.013)	loss 5.350 (5.291)
Train: [2][190/1271]	BT 0.824 (0.830)	DT 0.000 (0.013)	loss 5.266 (5.297)
Train: [2][200/1271]	BT 0.821 (0.830)	DT 0.000 (0.012)	loss 5.412 (5.303)
Train: [2][210/1271]	BT 0.823 (0.830)	DT 0.000 (0.012)	loss 5.298 (5.304)
Train: [2][220/1271]	BT 0.823 (0.829)	DT 0.000 (0.011)	loss 5.468 (5.307)
Train: [2][230/1271]	BT 0.823 (0.829)	DT 0.000 (0.011)	loss 5.260 (5.306)
Train: [2][240/1271]	BT 0.821 (0.828)	DT 0.000 (0.010)	loss 5.154 (5.307)
Train: [2][250/1271]	BT 0.820 (0.828)	DT 0.000 (0.010)	loss 5.346 (5.306)
Train: [2][260/1271]	BT 0.827 (0.828)	DT 0.000 (0.009)	loss 5.386 (5.305)
Train: [2][270/1271]	BT 0.825 (0.828)	DT 0.000 (0.009)	loss 4.899 (5.301)
Train: [2][280/1271]	BT 0.822 (0.827)	DT 0.000 (0.009)	loss 5.316 (5.302)
Train: [2][290/1271]	BT 0.821 (0.827)	DT 0.000 (0.008)	loss 5.212 (5.303)
Train: [2][300/1271]	BT 0.819 (0.827)	DT 0.000 (0.008)	loss 5.195 (5.300)
Train: [2][310/1271]	BT 0.822 (0.827)	DT 0.000 (0.008)	loss 5.218 (5.300)
Train: [2][320/1271]	BT 0.823 (0.827)	DT 0.000 (0.008)	loss 5.298 (5.303)
Train: [2][330/1271]	BT 0.817 (0.826)	DT 0.000 (0.007)	loss 5.110 (5.304)
Train: [2][340/1271]	BT 0.828 (0.826)	DT 0.000 (0.007)	loss 5.298 (5.303)
Train: [2][350/1271]	BT 0.819 (0.826)	DT 0.000 (0.007)	loss 5.090 (5.303)
Train: [2][360/1271]	BT 0.819 (0.826)	DT 0.000 (0.007)	loss 5.315 (5.305)
Train: [2][370/1271]	BT 0.818 (0.826)	DT 0.000 (0.007)	loss 5.499 (5.308)
